,auroc,auprc,sensitivity_at_80_specificity,accuracy,precision,recall,specificity,f1_score,optimal_threshold,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper
GRU-D,0.5132,0.2346,0.2065,0.6341,0.2508,0.3198,0.7246,0.2811,0.6912,0.4716148442230918,0.5535958740956235,0.20182821263957387,0.27663585183691247
LSTM,0.4877,0.2378,0.17,0.7699,0.4,0.0567,0.9755,0.0993,0.9732,0.4469589274966334,0.5258722940863475,0.20098634370567287,0.28263470865552753
CNN-LSTM,0.4935,0.2191,0.1822,0.3433,0.2309,0.83,0.203,0.3612,0.1839,0.4538677293173007,0.5350366507288807,0.19020213371960418,0.2580668398121367
Transformer,0.4829,0.2264,0.2267,0.7337,0.2957,0.1377,0.9055,0.1878,0.893,0.44159801507206353,0.5229801872982087,0.1969907298090562,0.26820085776899966
GRU-D [No DeltaT],0.4748,0.412,0.1878,0.5924,1.0,0.0175,1.0,0.0343,0.6316,0.42787684023053585,0.5232078826416064,0.35579383338550225,0.4723465754948791
LSTM [No DeltaT],0.4794,0.3947,0.1485,0.4783,0.4289,0.7773,0.2663,0.5528,0.4929,0.4308735333053293,0.5262419450818432,0.34681422611859025,0.45472016383944863
CNN-LSTM [No DeltaT],0.4915,0.4222,0.2227,0.5815,0.4891,0.1965,0.8545,0.2804,0.5331,0.44447180288532084,0.5424075312654759,0.36750033740227867,0.4829969341468017
Random,0.4621,0.4012,0.2227,0.5598,0.4444,0.2445,0.7833,0.3155,0.758,0.41292856766503466,0.5126956279523965,0.35102339602868715,0.46529731454901724
Majority Class,0.5,0.4149,0.0,0.5851,0.0,0.0,1.0,0.0,inf,0.5,0.5,0.375,0.4601449275362319
