model,auroc,auprc,brier_score,sensitivity_at_80_specificity,accuracy,precision,recall,specificity,f1_score,optimal_threshold,threshold_at_recall_0.85,precision_at_recall_0.85,recall_at_recall_0.85,f1_at_recall_0.85,specificity_at_recall_0.85
grud_auroc_opt,0.5710389359665805,0.1527186832653948,0.379011285215118,0.2714025500910746,0.6253303964757709,0.1623681125439625,0.5045537340619308,0.6419443748433976,0.2456762749445676,0.6161738,0.5540852546691895,0.1273078024387359,0.8415300250053406,0.2211584490186692,0.2064645452267602
lstm_auroc_opt,0.5595524812430884,0.1583787065557027,0.3415226238824139,0.2823315118397085,0.6568281938325992,0.1687458962573867,0.4681238615664845,0.6827862691054873,0.248069498069498,0.6619485020637512,0.4180488884449005,0.1267067193984985,0.8451730608940125,0.2203752077891237,0.1986970684039088
cnn_lstm_auroc_opt,0.5522032953014957,0.1401186814086391,0.3113485810770084,0.2513661202185792,0.5825991189427313,0.1509336099585062,0.5300546448087432,0.5898271109997494,0.2349616471538151,0.5845577716827393,0.3549133837223053,0.1290322542190551,0.8597449660301208,0.2243879248870929,0.2017038336256577
transformer_auroc_opt,0.5542780910965884,0.14391972776660544,0.6229443800615958,0.3005464480874317,0.6275330396475771,0.15930787589498807,0.48633879781420764,0.6469556502129792,0.24,0.8397064208984375,0.839691698551178,0.11887224018573761,0.8524590134620667,0.2086491306286224,0.13079428714607869
